Período,Região,Nº Receitas Eletrónicas Dispensadas,Nº Receitas Manuais Dispensadas,Valor Comparticipado pelo SNS
2017-09,Região de Saúde do Algarve,208446,12467,4127903.64
2017-12,Região de Saúde do Alentejo,297693,14385,5657749.58
2017-12,Região de Saúde do Algarve,203574,11364,3961291.32
2018-01,Região de Saúde do Alentejo,331978,16457,6217982.41
2018-02,Região de Saúde do Centro,1022902,43709,20248727.05
2018-02,Região de Saúde LVT,1922011,116101,36929779.47
2018-05,ARS LVT,2052452,117541,40603140.17
2018-06,ARS LVT,1991666,103591,39645528.84
2018-08,ARS Alentejo,306151,13020,5863850.93
2018-09,ARS Algarve,212633,11297,4217856.66
2018-10,ARS Centro,1136579,45938,23481806.89
2018-11,ARS Algarve,223561,11698,4447789.74
2018-11,ARS Lisboa e Vale do Tejo,2095801,114619,41267853.16
2018-12,ARS Alentejo,308521,13357,5932457.54
2018-12,ARS Centro,1067287,40962,22238866.0
2019-01,ARS Alentejo,339921,14708,6480766.8
2019-02,ARS Alentejo,310944,13700,5878743.06
2019-04,ARS Lisboa e Vale do Tejo,2040172,104436,40628757.68
2019-04,ARS Norte,2082576,85576,40438616.8
2019-05,ARS Lisboa e Vale do Tejo,2148124,112864,43558526.44
2019-06,ARS Alentejo,302422,12128,5937711.18
2019-07,ARS Norte,2217144,74610,45150876.03
2019-09,ARS Lisboa e Vale do Tejo,1912650,84708,39249934.04
2019-10,ARS Algarve,243538,10804,4974773.36
2019-10,ARS Centro,1182371,41253,25084304.42
2019-10,ARS Norte,2301687,86870,45491801.0
2019-11,ARS Algarve,228887,9822,4703310.06
2019-12,ARS Centro,1120187,37962,23945354.68
2020-01,ARS Lisboa e Vale do Tejo,2219233,108605,45698034.86
2020-02,ARS Centro,1084445,32509,22984974.67
2020-04,ARS Alentejo,268960,5586,6203288.51
2020-04,ARS Lisboa e Vale do Tejo,1580627,34818,38981698.18
2020-04,ARS Norte,1647552,30482,39221063.43
2020-05,ARS Lisboa e Vale do Tejo,1597105,48534,37693691.82
2020-06,ARS Centro,953649,23901,22518463.42
2020-06,ARS Norte,1783965,53294,40161363.98
2020-09,ARS Alentejo,287312,9529,6314426.22
2020-09,ARS Lisboa e Vale do Tejo,1793315,61122,40726864.8
2020-12,ARS Alentejo,290182,8461,6507364.82
2020-12,ARS Lisboa e Vale do Tejo,1860154,58826,43166713.29
2021-01,ARS Algarve,212860,6953,4965383.41
2021-01,ARS Centro,996257,20907,24047577.74
2021-03,ARS Alentejo,308910,8574,6807957.19
2021-05,ARS Norte,2084261,45447,45099033.09
2021-06,ARS Norte,2028113,43552,44295161.43
