Período,Região,Encargos SNS (Ambulatório),Encargos Utentes (Ambulatório),Valor PVP (Ambulatório),Encargos SNS (Genéricos) 
2014-07,Lisboa,35800918.64,22729668.650000006,58530587.29000001,7851176.8999999985
2014-08,Alentejo,4314169.399999999,2504898.6099999994,6819068.009999999,1009955.7
2014-09,Algarve,3793211.5199999996,2364420.2200000007,6157631.74,706857.1200000001
2014-09,Norte,29859460.02,17353944.639999997,47213404.66,6870375.169999999
2014-12,Alentejo,4712879.03,2702128.679999998,7415007.709999998,1096997.8800000001
2014-12,Algarve,3781047.439999999,2299284.2899999996,6080331.729999999,698240.0499999999
2014-12,Centro,25815612.479999997,14830672.120000005,40646284.6,5341717.869999999
2015-01,Alentejo,4745849.87,2828717.4400000004,7574567.3100000005,1093475.85
2015-02,Centro,23813875.54,13869292.589999996,37683168.129999995,4841392.74
2015-04,Centro,25024864.62,14531733.319999997,39556597.94,5017200.18
2015-10,Lisboa,36095330.18,23163257.54,59258587.72,7913197.99
2015-11,Lisboa,34429050.49,21747200.79,56176251.28,7553445.04
2016-02,Centro,24524703.0,14067851.0,38592554.0,5100738.49
2016-04,Centro,25150512.24,14174316.710000005,39324828.95,5233069.43
2016-07,Algarve,3965005.1500000004,2375095.539999999,6340100.6899999995,716809.72
2016-08,Norte,29433181.47,16357611.270000003,45790792.74,6599161.61
2016-10,Centro,25901680.770000003,14767333.469999999,40669014.24,5264229.74
2016-10,Algarve,3807787.6100000003,2315604.1100000003,6123391.720000001,676967.49
2016-11,Norte,31876177.32,18430000.18,50306177.5,7031226.39
2016-11,Centro,26151113.479999997,14788067.220000006,40939180.7,5295328.58
2017-01,Lisboa,35853339.89,22170791.75,58024131.64,7677118.54
2017-04,Centro,23942097.75,13195634.93,37137732.68,4977323.1
2017-04,Alentejo,4382296.58,2461334.92,6843631.5,1016929.63
2017-04,Algarve,3659101.2199999997,2194828.9400000004,5853930.16,680279.84
2017-05,Centro,27008591.020000003,14735923.729999997,41744514.75,5679595.74
2017-05,Lisboa,36560192.94,22063959.980000004,58624152.92,8125714.19
2017-06,Alentejo,4702784.090000008,2561642.3199999994,7264426.410000008,1104596.1900000009
2017-07,Norte,32037456.50999996,17955013.729999892,49992470.23999985,7324865.739999973
2017-07,Algarve,4038299.470000004,2442193.6799999825,6480493.149999986,754023.8700000013
2017-08,Alentejo,4605517.269999982,2506643.9800000275,7112161.250000009,1083770.9000000006
2017-08,Algarve,4108232.6700000013,2465333.8199999775,6573566.489999979,767302.7400000001
2018-01,Alentejo,4934236.5700000115,2751751.279999988,7685987.85,1188602.0900000087
2018-02,Norte,34039507.62,19209038.0,53248545.62,7850948.66
2018-02,Algarve,3664678.11,2177428.3700000006,5842106.48,704350.97
2018-03,Norte,33443775.210000128,18608580.82,52052356.03000013,7706979.210000013
2018-05,Lisboa,36700841.05000002,21937666.21999999,58638507.27000001,8217655.649999971
2018-07,Centro,27873353.22999969,14864107.550000802,42737460.78000049,5902661.840000013
2018-10,Centro,22124568.750000015,11820831.089999959,33945399.839999974,4607595.509999996
2019-02,Alentejo,5461891.540000019,2950364.7999999924,8412256.340000011,1300239.8899999994
2019-04,Norte,33676730.23999994,18347069.14000015,52023799.38000009,7561882.879999995
2019-04,Centro,27471486.740000118,14379295.109999951,41850781.85000007,5757842.050000015
2019-05,Centro,22610541.45000001,11665209.859999977,34275751.30999999,4668000.220000002
2019-05,Algarve,4365069.909999991,2519657.78000003,6884727.690000021,827694.7300000008
