Período;Região;Valor PVP (Ambulatório);Unidades Dispensadas (Ambulatório);Valor PVP (Genéricos);Unidades Dispensadas (Genéricos);Quota Mercado Genéricos - Valor PVP;Quota Mercado Genéricos - Unidades dispensadas
2012-11;Alentejo;6949519.23;21579702;1508514.4200000002;9569965;21.71;44.35
2012-11;Algarve;5671390.44;14964089;1051822.66;5933990;18.55;39.65
2012-12;Lisboa;51892856.97000001;152619268;10726111.01;66821158;20.67;43.78
2013-01;Algarve;5735990.530000001;15299798;1135031.22;6239419;19.79;40.78
2013-05;Algarve;6396078.460000001;16839388;1300501.9500000002;6969131;20.33;41.39
2013-05;Lisboa;60099793.480000004;175942624;13518243.610000001;78684696;22.49;44.72
2013-05;Norte;50094496.84;152396847;11832615.5;70078551;23.62;45.98
2013-06;Centro;36831507.14;111405953;8164662.490000002;48293480;22.17;43.35
2013-06;Norte;43912426.7;134145891;10477689.01;61991876;23.86;46.21
2013-07;Centro;41213729.81;125934573;9195892.05;54447809;22.31;43.23
2013-08;Lisboa;49474081.120000005;146689580;11467710.13;66225294;23.18;45.15
2013-08;Norte;44120808.17000001;136404025;10717483.41;63198016;24.29;46.33
2013-09;Alentejo;7109372.339999999;21810109;1765343.9;10095670;24.83;46.29
2013-10;Algarve;6398487.17;16908929;1321512.73;6984951;20.65;41.31
2013-11;Lisboa;57582353.14;168638888;13279049.15;76253156;23.06;45.22
2013-12;Alentejo;7330401.869999999;22663854;1849912.4299999997;10726880;25.24;47.33
2013-12;Centro;39698384.080000006;120678639;9056335.89;53045222;22.81;43.96
2014-01;Centro;42039590.839999996;129412759;9668102.170000002;56885170;23.0;43.96
2014-03;Norte;47890260.190000005;150148608;12000363.339999998;71249475;25.06;47.45
2014-04;Algarve;5820872.47;15686117;1242994.6099999996;6689006;21.35;42.64
2014-04;Norte;45840943.970000006;144507151;11594025.370000001;69381854;25.29;48.01
2014-05;Lisboa;57578677.72999999;173581322;13941457.19;81104984;24.21;46.72
2014-05;Norte;48699262.32;154780301;12390933.899999997;74304433;25.44;48.01
2014-06;Lisboa;52963478.53999999;160708559;12827088.350000001;74915068;24.22;46.62
2014-07;Lisboa;58530587.29000001;178823290;14163282.709999999;83493604;24.2;46.69
2014-08;Alentejo;6819068.009999999;21682427;1766557.12;10500876;25.91;48.43
2014-08;Lisboa;47653236.35999999;145338916;11612179.059999999;68360133;24.37;47.03
2014-09;Centro;39771091.92000001;124203640;9272194.129999999;55856817;23.31;44.97
2014-09;Norte;47213404.66;151251053;12001167.999999996;72820700;25.42;48.15
2014-10;Alentejo;7806691.840000002;24567589;1995899.04;11920742;25.57;48.52
2015-01;Centro;41558907.80999999;126972095;9778671.16;57717102;23.53;45.46
2015-02;Norte;45914473.37;144832046;11641032.49;69651213;25.35;48.09
2015-04;Algarve;6077117.41;16473593;1282965.0700000003;7071311;21.11;42.93
2015-04;Lisboa;55750247.93999999;167867517;13311604.299999999;78251856;23.88;46.62
2015-05;Centro;38825002.87;120101674;9093343.75;54500828;23.42;45.38
2015-07;Algarve;6581453.860000002;17992473;1393345.9100000001;7672879;21.17;42.64
2015-07;Norte;50525023.89999999;162195443;12911200.859999998;78699281;25.55;48.52
