periodo;regiao;encargos_sns_ambulatorio;encargos_utentes_ambulatorio;valor_pvp_ambulatorio;encargos_sns_genericos ;encargos_sns_hospitalar
2021-08;Alentejo;5180881,36;2599987,83;7780869,19;1188967,65;3717166,70
2021-09;Norte;38694367,98;20005177,55;58699545,53;8388848,83;52185780,60
2021-09;Lisboa;39852617,65;22048081,51;61900699,16;8518181,65;0,00
2021-10;Centro;31836634,88;16231348,30;48067983,18;6435297,51;22198795,55
2021-11;Lisboa;43475064,63;24952691,79;68427756,42;9106431,19;0,00
2021-11;Algarve;5001340,22;2803857,97;7805198,19;929262,07;2638712,70
2021-12;Norte;41318622,01;21399756,15;62718378,16;8822664,14;13106443,62
2021-12;Centro;32575486,41;16377604,54;48953090,95;6602092,11;19827751,28
2021-12;Alentejo;5526109,37;2791288,12;8317397,49;1249574,27;4012024,15
2022-02;Lisboa;40189524,29;22145877,87;62335402,16;8528965,47;0,00
2022-02;Centro;30052084,16;14944964,98;44997049,14;6113925,54;21357815,92
2022-02;Algarve;4629999,39;2546150,71;7176150,10;867543,77;2950436,14
2022-03;Centro;34416439,22;17264223,44;51680662,66;6997272,74;22273017,39
2011-01;Centro;27262189,40;15749556,94;43011746,34;5971915,71;14782195,77
2011-01;Lisboa;36412281,04;22433829,04;58846110,08;7971742,53;39887622,36
2011-02;Algarve;3891064,62;2417165,36;6308229,98;819396,97;3277668,06
2011-06;Lisboa;39788821,07;24492962,73;64281783,80;8565500,62;39749575,81
2011-07;Lisboa;40515569,70;26816619,15;67332188,85;7850086,31;41101050,21
2011-07;Norte;34970949,30;21144340,85;56115290,15;7200163,00;25782289,18
2011-11;Alentejo;5549627,27;3381996,24;8931623,51;1178619,71;2877248,69
2011-11;Centro;28896751,39;16922519,53;45819270,92;5633131,70;14750586,18
2011-11;Norte;33452800,09;19910349,48;53363149,57;6953414,01;26323622,32
2011-12;Lisboa;41153115,63;25772683,94;66925799,57;8103309,16;40608773,62
2011-12;Norte;36260946,10;20813641,40;57074587,50;7601384,65;25300854,92
