Período,Região,Valor PVP (Ambulatório),Nº Embalagens (Ambulatório),Preço Médio por Embalagem (Ambulatório),Valor PVP (Genéricos),Nº Embalagens (Genéricos),Preço Médio por Embalagem (Genéricos)
2021-02,Lisboa,56522067.0,4323883,13.07,14248917.0,1874916,7.6
2021-02,Algarve,6545383.0,465722,14.05,1485754.0,188579,7.88
2021-03,Algarve,7465318.59,536350,13.9187444579099,1702260.09,215628,7.89442971228227
2021-04,Lisboa,60036883.36,4617434,13.0022179764778,15099600.77,1989023,7.59146614694752
2021-04,Centro,44277983.13,3356264,13.1926401290244,10839727.49,1442045,7.51691347357399
2021-05,Alentejo,7818563.36,609430,12.8293050227261,2086028.15,274480,7.59992768143398
2021-07,Centro,47996351.35,3620773,13.2558299981799,11636970.04,1551946,7.49830860094359
2021-08,Norte,56455840.83,4400103,12.8305725638695,14487420.79,1994946,7.26206162472568
2021-10,Norte,61725125.58,4812605,12.8257202866223,15370470.88,2117154,7.25996827816966
2022-01,Algarve,7525685.76,532956,14.1206511606962,1678395.21,215318,7.79496005907541
2022-02,Centro,44997049.14,3341359,13.4666909901031,10737446.34,1431045,7.50322061151117
2011-03,Centro,46968000.24000001,3066170,15.318133123734173,10883577.17,860212,12.652203375446982
2011-03,Norte,54983620.18999999,3721597,14.774200481674935,13522355.27,1108488,12.198918950859188
2011-04,Algarve,6369117.55,383004,16.629376063957555,1412775.1600000001,102161,13.82890887912217
2011-05,Alentejo,9629897.209999999,611712,15.742534411618538,2432631.51,190495,12.770054384629516
2011-10,Centro,46689953.14000001,3194710,14.614770398565131,10063638.790000001,926584,10.861010755635755
2011-12,Algarve,7231633.330000002,419241,17.249346628788697,1520853.4800000002,124320,12.233377413127414
2012-03,Algarve,6808736.510000001,430615,15.811656607410333,1385269.81,132206,10.47811604617037
2012-03,Norte,52670372.080000006,3830451,13.750436196677626,12034083.66,1348041,8.927090244287822
2012-04,Norte,46598295.849999994,3439949,13.546217066008825,10490259.62,1214943,8.634363603889236
2012-05,Norte,49844016.05,3814855,13.065769485340857,11035177.249999998,1352471,8.159270882702844
2012-06,Centro,37953115.809999995,2790116,13.602701755052477,7730371.42,955786,8.08797306091531
2012-07,Norte,45032648.08,3587376,12.553088407794442,9643106.26,1321526,7.296947816388024
2012-09,Alentejo,6727694.66,534289,12.591864440405848,1420118.72,203566,6.976207814664531
2012-09,Lisboa,48077737.63000001,3761144,12.782743130813394,9451225.75,1380149,6.84797492879392
